any,districte,seccio,sexe,codi_nivell_estudis,nivell_estudis,data_naixement,codi_municipi_naixement,municipi_pais_naixement,codi_provincia_naixement,provincia_naixement,codi_nacionalitat,nacionalitat,data_alta,codi_municipi_procedencia,municipi_pais_procedencia,codi_provincia_procedencia,provincia_procedencia
2021,6,7,DONA,42,"BATXILLER SUPERIOR, BUP",1971,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,7,DONA,48,DOCTORAT I POST-GRAU,1960,136,PONTOS,17,GIRONA,108,ESPAÑA,01/11/2001,66,FIGUERES,17,GIRONA
2021,6,7,HOME,46,LLICENCIAT O GRAU UNIVER.,1951,<20,<20,40,SEGOVIA,108,ESPAÑA,01/05/1996,19,BARCELONA,8,BARCELONA
2021,6,7,HOME,42,"BATXILLER SUPERIOR, BUP",1993,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,7,HOME,40,"BATXILLER,FPII O SUPERIOR",1952,250,VALENCIA,46,VALÈNCIA,108,ESPAÑA,01/05/1996,78,CUENCA,16,CUENCA
2021,6,7,HOME,46,LLICENCIAT O GRAU UNIVER.,1981,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,7,DONA,45,"ARQUITECTE,ENGINYER TÈCNI",1954,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,7,DONA,22,PRIMÀRIA INCOMPLETA,1929,191,<20,17,GIRONA,108,ESPAÑA,01/05/1996,191,<20,17,GIRONA
2021,6,7,HOME,22,PRIMÀRIA INCOMPLETA,1922,56,CORNELLÀ DEL TERRI,17,GIRONA,108,ESPAÑA,01/05/1996,56,CORNELLÀ DEL TERRI,17,GIRONA
2022,1,1,DONA,46,LLICENCIAT O GRAU UNIVER.,1952,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO,302,ESTADOS UNIDOS DE AMÉRICA,22/10/2012,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO
2022,1,2,HOME,46,LLICENCIAT O GRAU UNIVER.,1952,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO,302,ESTADOS UNIDOS DE AMÉRICA,22/10/2012,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO
2022,1,3,DONA,22,PRIMÀRIA INCOMPLETA,1992,19,BARCELONA,8,BARCELONA,108,ESPAÑA,01/05/1996,19,BARCELONA,8,BARCELONA
2022,1,4,DONA,46,LLICENCIAT O GRAU UNIVER.,1987,342,BRASIL,66,EXTRANJERO,342,BRASIL,17/10/2011,342,BRASIL,66,EXTRANJERO
2022,1,4,DONA,22,PRIMÀRIA INCOMPLETA,2002,79,GIRONA,17,GIRONA,108,ESPAÑA,22/06/2011,321,HONDURAS,66,EXTRANJERO
2022,1,5,DONA,31,"BATX. ELEM., GRADUAT, ESO",2002,79,GIRONA,17,GIRONA,108,ESPAÑA,09/09/2010,155,SALT,17,GIRONA
2022,1,5,DONA,31,"BATX. ELEM., GRADUAT, ESO",2002,191,<20,17,GIRONA,108,ESPAÑA,24/07/2013,33,CALDES MALAVELLA,17,GIRONA
2022,2,1,DONA,31,"BATX. ELEM., GRADUAT, ESO",1972,79,GIRONA,17,GIRONA,108,ESPAÑA,28/02/2012,8,ANGLES,17,GIRONA
2022,2,1,HOME,42,"BATXILLER SUPERIOR, BUP",1976,321,HONDURAS,66,EXTRANJERO,321,HONDURAS,20/09/2011,155,SALT,17,GIRONA
2022,2,1,DONA,31,"BATX. ELEM., GRADUAT, ESO",1973,321,HONDURAS,66,EXTRANJERO,321,HONDURAS,14/01/2011,92,LLANÇÀ,17,GIRONA
2022,2,2,HOME,47,TÍTOL SUP NO UNIVERSITARI,1978,321,HONDURAS,66,EXTRANJERO,321,HONDURAS,09/03/2010,189,LA CELLERA TER,17,GIRONA
2022,2,3,HOME,31,"BATX. ELEM., GRADUAT, ESO",1978,321,HONDURAS,66,EXTRANJERO,321,HONDURAS,14/04/2007,321,HONDURAS,66,EXTRANJERO
2022,2,3,DONA,47,TÍTOL SUP NO UNIVERSITARI,1974,104,BULGARIA,66,EXTRANJERO,104,BULGARIA,04/12/2012,104,BULGARIA,66,EXTRANJERO
2022,2,4,HOME,31,"BATX. ELEM., GRADUAT, ESO",1972,104,BULGARIA,66,EXTRANJERO,104,BULGARIA,24/05/2004,104,BULGARIA,66,EXTRANJERO
2022,3,1,HOME,31,"BATX. ELEM., GRADUAT, ESO",1985,104,BULGARIA,66,EXTRANJERO,104,BULGARIA,19/03/2005,104,BULGARIA,66,EXTRANJERO
2022,3,1,HOME,41,FORMACIÓ PROFESS 2ON GRAU,1984,104,BULGARIA,66,EXTRANJERO,104,BULGARIA,10/11/2006,104,BULGARIA,66,EXTRANJERO
2022,3,2,HOME,31,"BATX. ELEM., GRADUAT, ESO",1979,228,MARRUECOS,66,EXTRANJERO,228,MARRUECOS,29/11/2007,228,MARRUECOS,66,EXTRANJERO
2022,3,2,DONA,42,"BATXILLER SUPERIOR, BUP",1989,104,BULGARIA,66,EXTRANJERO,104,BULGARIA,26/08/2009,104,BULGARIA,66,EXTRANJERO
2022,3,3,DONA,42,"BATXILLER SUPERIOR, BUP",1985,321,HONDURAS,66,EXTRANJERO,321,HONDURAS,27/10/2010,155,SALT,17,GIRONA
2022,3,3,HOME,42,"BATXILLER SUPERIOR, BUP",1967,118,PALAMÓS,17,GIRONA,108,ESPAÑA,01/11/2001,118,PALAMÓS,17,GIRONA
2022,3,3,DONA,22,PRIMÀRIA INCOMPLETA,1938,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2022,4,1,HOME,42,"BATXILLER SUPERIOR, BUP",1963,79,GIRONA,17,GIRONA,108,ESPAÑA,18/12/2012,92,<20,50,ZARAGOZA
2022,4,1,DONA,11,NI LLEGIR NI ESCRIURE,1925,200,TORTELLÀ,17,GIRONA,108,ESPAÑA,01/05/1996,200,TORTELLÀ,17,GIRONA
2022,4,1,HOME,44,DIPLOMAT ESCOLA UNIVERS.,1973,19,BARCELONA,8,BARCELONA,108,ESPAÑA,03/05/2007,19,BARCELONA,8,BARCELONA
